,Unnamed: 0.1,text
28,28,"the department for promotion of industry and internal trade (dpiit) asked e-commerce platforms including amazon and flipkart to display the ‘country of origin’ of the products on their websites.

#makeinindia
#onlineshopping
#amazon
#flipkart
#boycottchineseproduct 
#boycottchina https://t.co/hkxgnxhpqv"
29,29,"ಟಿಕ್ ಟಾಕ್ ಏನೋ ಬ್ಯಾನ್ ಆಯ್ತು ಮುಂದೇನು? tik tok banned, what's next? https://t.co/haaxqfbhaq via @youtube guys .. please watch and see the current scenario and react according to the situation...#boycottchina #ektakapoormafimang #justiceforsushantsinghrajput"
30,30,@senator_patrick #boycottchina is an important step in safeguarding national security👍
31,31,rt @ladytruth11: #twittercats #catsontwitter #catsoftwitter #whiskerswednesday #banyulin #boycottchina 😲❤️❤️❤️ https://t.co/n3hqewqegt
32,32,"apparently this is 'today in china':

restaurants, hotels, boardings, cafes, have started boycotting indians.

and we are still accepting chinese products.

#boycottchina 
#boycottchineseproducts 
#democracyforchina https://t.co/i4uigyqg1s"
33,33,"rt @pratham69826749: #मोदी_का_जलवा
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina https://t.co/xbdtzahfng"
34,34,"#local2globalindia
.
.
#aatamnirbharbharat #india #incredibleindia #herocycles #मेरा_भारत_महान🇮🇳 #myindiamypride #boycottchineseproducts #boycottmadeinchina #boycottchina #teachlessontochina #growindiaflowindia https://t.co/nginizjlmq"
35,35,"rt @pratham69826749: #जयभीम_मुंबई
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina https://t.co/zuaallfqzl"
36,36,"@opindia_com for him gutter is heaven. uighur is best place for khatana.
नाली के कीड़े के लिए नाली ही स्वर्ग है ।
#जनसंख्या_नियंत्रण_कानुन
#चीन_पीछे_भाग_रहा_है
#boycottmadeinchina
#boycottchina  #sushantsingrajput #जयहिंद   #चीन_का_काल_मोदी
#boycottchineseproducts
#जय_श्रीराम"
37,37,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
38,38,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
39,39,"rt @unntv1: wow! roads of #china. 
poor-quality constructions cause many people to die in #china every year. 
#qarmy #who #rhtrades #usmca #aybar #forex #japanese #javascript #love #coronavirus #mgros #netas #trudeaucorruption #boycottchina https://t.co/68gubibnj3"
40,40,"weaked cover-up and 2nd virus coming to save #ccp but we have to save mother 🌍 and finish chinese virus for forever! #boycottchineseproducts
#boycottchina
#indianarmy #chinathrownout
@whitehouse @realdonaldtrump
@usandindia
@sharmakhemchand
#payalrohtagi
https://t.co/nsd2xtqhge"
41,41,"rt @pratham69826749: #मोदी_का_जलवा
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina https://t.co/xbdtzahfng"
42,42,"@pbswain_ind yes

जब तक इस लाईलाज बिमारी का इलाज मिल नहीं जाता तब तक #boycottchina"
43,43,"rt @karengepodcast: watch our latest video. 
our take on the current india vs china scenario, how can we as an indian citizen contribute and help our nation.
link in bio.
#podcastkarenge #karengepodcast #podcast #india #china #indiavschina #banchina #boycottchina #madeinindia #atmanirbharbharat https://t.co/ta6ippoxqv"
44,44,"rt @driverrrrh: @hurdonthehill the fact is that #china is overpowered to destroy an international financial centre easily and no one is able to stop it ! 

make #china pay!

#boycottchina 
stop using spy apps #tiktok https://t.co/tv7tddnryg"
45,45,"we are still not #ready to overtake #china we are still running toward “what we can use as alternative” instead of “what we can create”. 

#makeinindia will never be successful until we change our mindset. 

#beacreator #beinnovator #boycottchina
@makeinindia @anandmahindra https://t.co/qc8h1nh9ew"
46,46,"rt @hembharadwaj_st: #makeinindia राखी से लेकर दिवाली तक सभी त्यौहार कैसे होंगे पूरी तरह भारतीय। इसके लिए @caitindia ने शुरू की तैयारियां ताकि बाजारों में न हो भारतीय सामान की कमी। 
#boycottchina  
@sandhyatimes4u 
@nbtdilli 
@navbharattimes https://t.co/jqlzitu5si"
47,47,"corona update in india!

confirmed: 751768
active: 267776
recovered: 463125
deaths: 20767
updated: 08/07/2020 

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/n4pr0peowi https://t.co/tjoyuu8vrk"
48,48,#twittercats #catsontwitter #catsoftwitter #whiskerswednesday #banyulin #boycottchina #animallivesmattertoo. omg there's a poppy cat growing in my flower pot 😲😲😲😲😬😬😁❤️ https://t.co/bobk9mfiob
49,49,"novartis fcpa enforcement action: fines, penalties and the cost of recidivism https://t.co/aprgjo4aws #bigpharma #boycottnovartis #followthemoney #boycottchina"
50,50,"rt @newscomworld: the threat posed by the chinese government and the chinese communist party to the economic and national security : christopher wray, director fbi

#chinesethreat #usa #ccpthreat #nationalsecurity #boycottchina #fbidirector #fbi @globaltimesnews @huxijin_gt
https://t.co/tzwwbgue4o"
51,51,"rt @pratham69826749: #जयभीम_मुंबई
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina https://t.co/zuaallfqzl"
52,52,"#armyday
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina #camscanner https://t.co/dltgh91jfp"
53,53,"rt @hembharadwaj_st: #makeinindia राखी से लेकर दिवाली तक सभी त्यौहार कैसे होंगे पूरी तरह भारतीय। इसके लिए @caitindia ने शुरू की तैयारियां ताकि बाजारों में न हो भारतीय सामान की कमी। 
#boycottchina  
@sandhyatimes4u 
@nbtdilli 
@navbharattimes https://t.co/jqlzitu5si"
54,54,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
55,55,"rt @a_sacred108: indian hai to accha hai.

#boycottchina 
#boycottchineseproducts https://t.co/uzs7f2lpuq"
56,56,@huawei #boycottchineseproducts #boycottchina
57,57,boycott china! #boycottchina https://t.co/9wushdvuya
58,58,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
59,59,"rt @boycottchina0: #ایغور خاتون جنہیں ایک بچے کو عربی سکھانے کے جرم میں #کنسنٹریشن_کیمپ جیل جانا پڑا 
ان پر پیشاب کیا گیا اور پھر کہا گیا تم لوگ وضو کرتے ہونا نماز سے پہلے؟
#china_is_terrorist
#boycottchina #uyghurgenocide
#saveuyghurs #china 
 https://t.co/tdbkzqhz3h"
60,60,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
61,61,"#जयभीम_मुंबई
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina https://t.co/zuaallfqzl"
62,62,@sharma_chaitu @madhavsheth1 just stop #boycottchina
63,63,rt @gladiator3661: @huaweient #boycottchina
64,64,@zlj517 #boycottchina
65,65,"@globaltimesnews this is just a start soon india, uk, eu, us, japan, australia, taiwan, and other countries in scs will ban chinese companies colluding with ccp and works as chinese spies in their soil.
#boycottchina"
66,66,"46 countries decided to fortify china  ‘s genocide game, wow! china is quick in spreading diseases and mind-sickness worldwide now after all. 
#un #humanrights #boycottchina #humanity_matters https://t.co/nk7nfcbe13"
